created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)","field5(GSM RSSI)",field6(Light),"field7(RS485 Temperature ºC )","field8(RS485 Humidity)","field9(Presión atmosférica)","field10(tem 485 ºC )","field11(External Light)","field12(PT100 Temperature ºC )","field13(Wind Speed)","field14(Carbon Dioxide)","field15(RS485 Atmospheric Pressure)",status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-01-20T10:07:38-05:00,24.7169,49.0517,4.1218,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-01-20T10:07:55-05:00,,,,,,,,,,,,,,,,,,,,,,VR032M0GS1A,507,,
2025-01-20T10:07:56-05:00,,,,,,,,,,,,,,,,,,,,,,VR032M0GS1A,-1,,
2025-01-20T10:09:33-05:00,24.733,50.8156,,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-01-20T10:09:36-05:00,,,,,,,24.9,46.7,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-01-20T10:09:39-05:00,,,,,,58.8,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-01-20T10:14:38-05:00,,,,,,,24.7,46.2,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-01-20T10:17:40-05:00,24.3511,49.5232,,,,57.15,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-01-20T10:19:37-05:00,,,,,,,24.6,54,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-01-20T10:24:38-05:00,,,,,,,24.6,50.3,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-01-20T10:27:40-05:00,24.2229,49.0333,,,,63.6,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-01-20T10:29:38-05:00,,,,,,,24.6,47.9,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-01-20T10:34:38-05:00,,,,,,,24.6,53.5,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-01-20T10:37:40-05:00,24.3084,56.1196,,,,65.7,,,,,,,,,,,,,,,,VR032M0GS1A,,,
